49 61
1 8  1900
2 3  1100
3 4  4100
3 10 2300
4 5  1100
4 10 2300
6 11 3600
7 8  2100
8 9  1400
8 13 900
9 10 1500
9 15 900
9 16 1200
10 11 1500
11 12 3500
11 17 1200
11 18 900
13 14 1200
14 25 3600
15 26 900 
16 19 700
17 19 700
18 28 900
19 26 1900
19 28 1900
20 21 1400
20 29 1400
21 22 900
21 23 1400
23 29 1400
24 25 2500
25 26 1000 
25 31 3600
26 27 1500
26 32 1200
27 28 1500
27 34 1200
28 29 2100
28 36 700
29 30 1100
30 37 600
31 32 2800
31 38 1200
32 33 750
33 34 750
34 35 1500
34 41 750
35 36 450
37 45 1500
38 39 1100
39 40 1350
40 41 550
40 48 500
41 42 550
42 43 1650
42 44 2300
43 44 1050
43 45 900
45 46 600
46 47 1400
48 49 4100

